,tweets
0,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
1,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
2,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
3,"@MosesM_ Interesting, how do you propose the state controls gun ownership?"
4,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
5,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
6,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
7,@xRifleman_1776 @secretbnuy762 You know that real nazis expanded gun ownership in germany in the 1930 ?
8,"@HIGHLANDDRAGON @NRA The 2nd amendment applies to a well regulated militia. The Heller decision misrepresented that idea. The next time there is a liberal court, Heller will he overturned and civilian ownership of guns will be banned. Then you choose to be a criminal, like most gun advocates"
9,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
10,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
11,@NRA Walker is your poster child for responsible gun ownership. https://t.co/HjIZXXhyhi
12,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
13,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
14,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
15,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
16,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
17,"RT @amybett: Did you know?

Rural firearm suicide deaths exceed urban firearm deaths.

Higher gun ownership in rural areas is partly to bla…"
18,"@BambinoJalapeno Amazing, how is banning certain gun ownership going to stop illegal guns in Canada? Do we rally think those bad guys gonna say ""oh, crap can't use this one, it's banned?"""
19,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
20,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
21,@SenDuckworth @golfinsicilian AR-15 and other semi-automatic rifles are NOT “assault weapons” or “assault rifles.” An assault rifle is fully automatic — a machine gun. Automatic firearms have been severely restricted from civilian ownership since 1934.
22,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
23,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
