,tweets
0,"@CateVarney @vcomvirginia @UVAFamMed Gun violence can end with right strategy. University needs to have easy accessible counseling sessions for students, political will to limit gun ownership. It will take a whole societal level efforts to bring it down."
1,gun ownership is like a container of pudding whispering to aluminium foil
2,@GBergenhagen1 @Majestik12 @lorraine_luv1 Actually the 2nd amendment is about govt not being able to infringe on a right.  It was about putting together a manner of keeping the govt from becoming orepressive. The ownership of a gun is not a “god given right” that is the most idiotic statement I have read today.
3,Look at this moron who thinks gun ownership had nothing to do with us no longer being British this is a 100% lolcow https://t.co/Lro9YNfmaq
4,@sweetccash @REDPILL_MSN @JoJoFromJerz Starts off with “loose gun ownership laws…” REJECTED.
5,It’s the guns. And it’s got to stop. Responsible gun ownership is a must. FOR THE KIDS. https://t.co/1AIRYvE6jg
6,@PastorJenDavis_ Yea I pointed out that leftist like you want to price the poor out of gun ownership. You want them to be helpless victims while making gun ownership for the rich and elite.
7,@JoJoFromJerz How does my gun ownership affect students? They protect at least one vulnerable college student.
8,@five_tokyo @ODonnell4NH @StephenJNass Near impossible gun ownership says otherwise
9,"@RBReich Abortion isn’t in the constitution but gun ownership is.  Liberals have no problem killing babies, and if you count, more babies have been killed by doctors than have been killed by guns"
10,"RT @gunpolicy: ""According to the most recent statistics from the Massachusetts Firearms Record Bureau, there are 497,237 people with active…"
11,@casey00221908 @Freethinker__1 @TheJPScott @RBReich They don't understand the full complexities of gun ownership.   They just chirp what's handed to them.
12,@packrfan4 @ZGalo35 @arrest_jack @TonyReali I confused. You said you aren’t talking about gun ownership and then compared it to owning a car.  There is almost zero barriers to owning a car. I could sell my car to a new born baby if they had the cash.
13,"@Gener8tionZ @ullr_rover @davidhogg111 This ""guns vs gun crime"" statistic is bandied about to put the idea in people's heads that gun ownership causes more crimes to occur because you like to pretend that ""gun crime"" and ""crime"" are synonymous concepts and will use them interchangeably if not called on it."
14,Shall not be infringed.  Take 1 billion of that “aid” to Ukraine and put security in schools.  99% have legal gun ownership and use them correctly.  A drivers license doesn’t supersede me from getting hit by a drunk driver 🤷🏼 https://t.co/ycr1kFtFwx
15,"@Tbyrnes2 @ZGalo35 @arrest_jack @TonyReali Nobody is talking about stopping gun ownership.  They were talking about regulating it to the same extent that car ownership is.

There are far more intentional gun deaths each year than intentional car crashes."
16,@GovernorVA We need to think about regulating gun ownership. If I want to drive a car I have to go through six months of classes and pay to register my car every year with tabs.  Oh and maybe some money out into improving the mental health of you residents.
17,@kilmeade https://t.co/iyhlGWhZeO
18,"RT @JHU_CGVS: NEWS -&gt; @DrCrifasi has been named co-director of CGVS. Dr. Crifasi, a well-known expert on firearm purchaser permits, safe fi…"
19,"@GWasherballs @pm_mcdaniel @GovernorVA @UVA Charlottesville would likely try to severely limit gun ownership if it were up to them.  Unfortunately, they're stuck in a Neanderthal state in an 18th century country"
20,So when gun control advocates insist that guns are the problem. Why isn’t there a correlation between gun ownership and gun crime?
21,"RT @CoinHours: @wob99 @WendellHusebo @LeighAnne2014 @Breaking911 Illegal gun ownership.

Illegal drug use.

Sex with minors. https://t.co/z…"
22,RT @stezyp: @DoctorHenryCT Gun ownership must be logically regulated &amp; controlled in any sane society.
23,@mmpadellan How come nobody talks about reducing the next generation’s exposure to gun violence through *** education **** on the risks of gun ownership?
24,"@Gener8tionZ @ullr_rover @davidhogg111 ... So why, precisely are you removing the countries that are BIPoC majority? And you trying to say that they're somehow inferior to whites or something?

Oh, wait, it's because data from those countries were private gun ownership is legally impossible spits on your narrative."
25,@RBReich EVERYONE wants to end gun violence. YOU want to end lawful gun ownership LIAR!
26,"@RBReich Many pro-lifers believe in responsible gun ownership and much tougher laws to punish criminals that use guns in crimes.

Dummy.

Don't you have to go beg for pandemic amnesty somewhere. https://t.co/LsyKBnxgVh"
27,"4) stop wishing for bigger government,  because you're lazy , Self Reliance is part of being free
5) I'm all for gun ownership , at the end of the day you're security and protection are your responsibility
6) children can not pick  their sexuality or gender at 8 years old"
28,@Four50One @DanHill28240965 @JoJoFromJerz It's been very well documented that reducing private gun ownership reduces homicide.
29,"@JoJoFromJerz This is pretty far off, bad take on gun ownership."
30,"@arrest_jack @TonyReali So you want gun ownership to be only available to people who have been trained and tested and retested throughout their lives, like drivers licenses are?"
31,"@Gener8tionZ @JustynWS @davidhogg111 No. It shoes that there is zero correlation, positive or negative, with regards to the US and guns. As for the rest of the world there is indication that there's an inverse relationship between homicides and gun ownership."
