,tweets
0,"Gun violence cannot be abstracted from a broader culture of violence and authoritarianism that calls for more gun ownership, more police, and more national security. https://t.co/lGqRfWgQwc"
1,"RT @DeboerKarel: @StephenM No, the GOP House and Senate were too busy automatically blocking any progress, even if it benefitted their own…"
2,Some of grounding for us to start the conversation on Kenyans to be armed and probably have a better regulation regime on gun ownership https://t.co/YXevWFVT63
3,@davidhogg111 We shouldn’t be forced to live in USA when Canada is passing laws to stop gun sales now and possibly gun ownership later.
4,"@GuruCory @finesser_na Many of us comment from afar. Distance gives perspective. Uncontrolled gun ownership with few checks, seems crazy to us. We live in countries where mass shootings are rare. It appears illogical and immoral to us to combat mass shootings with 'thoughts and prayers' only."
5,RT @WalpurgaMueller: @mmpadellan Gun ownership strongly correlates with NRA revenues and deaths. That's all everyone needs to know. https:/…
6,"@TulsiGabbard Question for an idiot: Where do stolen guns come from?
Answer to idiot: Guns purchased legally then stolen. Proves 2 points: 1) Gun ownership doesn’t reduce crime like 2A nutz  argue.
2) Gun ownership increases crime: theft of guns, use to commit further crime.
Enforcing gun laws"
7,"RT @johnsureal: @Aussie_Resister @RonFilipkowski Actually, they do still have guns. 
Highly regulated laws surrounding gun ownership though…"
8,@KMBAussie @RonFilipkowski She's thin skinned and ill tempered. She refused to answer hard questions and own her position except for gun ownership. Pathetic
9,@DeeJakaus @LazloToaster @SecureBorderTX @FoxNews The second amendment without stricter gun control laws and responsible ownership is an obvious recipe for disaster and our reality today!
10,"RT @BeeSaysPolitics: parents, law enforcement, courts, and government officials best put care of minors on top of their to do list, on the…"
11,@guano_col @Jim_Jordan Gun ownership does not mean more crime. Wyoming leads the nation in guns and is one of the safest states to live in with nearly 70% gun ownership.
12,"RT @BeeSaysPolitics: parents, law enforcement, courts, and government officials best put care of minors on top of their to do list, on the…"
13,@Poisonarrow12 @UnafraidAlice @5iselite @PurpleDumbass5 @tragicbirdapp That's really good that you can defend yourself. Most people can't. That's why gun ownership is an equalizer.
14,"@StirrerPot @BonnetteJess @stpete1968 @VP I'm not talking about conclusions here - I'm talking about the raw data and obvious conclusions that can be drawn, without political biases.

https://t.co/zIa5HaUMdn"
15,@mattxiv It's really telling how when they thought the uvalde shooter was trans so many 'makes sense' posts came about but I haven't heard the right bring forward more attention to mental health crisis and gun ownership since
16,"@TenchCoxe76 @BryanBr08652785 @PhilipRust4 @Strandjunker Uhhh…read the entire decision. It spoke to state rights to control gun ownership and militia membership. It was overturned in 2010 by McDonald v Chicago.

Source for your snippet?"
17,@DebCoyle1 @BevH111 @RBReich Because we don't punish law abiding citizens for the crimes of others. Gun ownership is our right...time to accept that.
18,@bernie_ruble @DMRegister @rekhabasu Fascists try to restrict the public from owning fire arms. Nazis restricted gun ownership in the name of “public safety.” The first American Gun Control laws were passed in the South to prevent African Americans from owning guns. Glad to know that you’re a closet racist.
