tweets,class
"News: Gun crime on the rise.

Left: let's ban legal ownership and end prosecution for illegal use. That should stop it. 

News; Gun crime at highest level despite no one being able buy one legally and no one's in jail of said crime.

Right: We told you.

No of legal gun ownership is highest in punjab.",D
"But Kerala has the highest no of guns.""",D
“AR” does NOT stand for “assault rifle” or “automatic rifle.” AR-15 and other semi-automatic rifle,N
"Who wants state controlled education? U. Who begs the state to dictate labor worth and not the individual? U. Who wants indiv profit to be taken/redistributed by force? U. Who is against gun ownership? U. All basic tenets of dem party, and mirror every fascist regime in history.",D
The United States has a gun problem. Other countries with stricter gun ownership laws see much less gun violence. What can,R
"Anyone that supports unregulated gun ownership, sanctions the mass murder of innocent men, women and young school children in",D
"Did you get into Sinema's stash?

Gun ownership should require 10 personal references who will be civilly liable if a weapon is lost, stolen, or misused.

If you like your revolver, you can keep your revolver.",R
If that was really the goal you’d be advocating for reducing gun smuggling not legal gun ownership,N
"Please tell me who is taking guns from who? I  just bought a gun, no issue. I did go thru a background check, which is good. You r comments are not in alignment with gun ownership!",R
"How is it against the 2nd amendment?  The 2nd amendment doesn't guarantee you the weapon of  your choice. 
I'm not against gun ownership.  I'm against ownership of a mass murder weapon.",D
"It turns into a real mess. They have conversations in post modern gibberish, the guy saying things like he refused to do something because it was appropriation. They have a discussion over the statistics of gun ownership and self defense, in the midst of the alien invasion.",D
"You don't actually know anything about Hitler's stance on gun ownership, do you?",N
"I'm not sure what you're arguing here... routinely argues for RESPONSIBLE gun ownership, and accountability for irresponsible gun ownership. That's it. That's the tweet. You're making canned arguments that assume something he isn't saying.",N
Signed a gun ownership law removing the background,R
"Case in point towns with mandatory gun ownership ordinance, seethe  lowest crime rates as everyone knows everyone has a gun and the though of getting shot by anyone in the town who tires to do bad is a denture to crime. This doesn't over ride who's eligible to own a gun.",D
"In light of the 14th Amendment, absolutely, but prior to that, legally speaking, states could have curtailed firearms ownership as they pleased. Now, effectively all gun laws are repugnant to the Constitution.",R
"There should be no such thing as lawful gun ownership, no more than there should be such a thing as lawful child rape.",D
"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R
"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R
"So, a tiny, TINY case was made for restrictionless gun ownership...and then that case was immediately snuffed out by the exact reason we want gun reform in the first place.

It would be funny if it wasn't so depressing.",D
Will she be a true leader?  Even after gun ownership is abolished?,D
Got it. So the rest of the world isn't civil or civilised by not promoting gun ownership. Mekes sense,R
"You can have a digital receipt declaring you own real estate, but it’s a ‘gun’ that declares official, fina",D
"Hard to discuss criminal justice in 280. Suppose the thinking is that felons--by virtue of their felonious crime--lose the right to lawful ownership of lethal weapons.

It is a moot point, because the law is not enforced. A lot of the violent gun crime comes from...felons w/guns.",R
"That would be the same sentence structure, yes. Neither abortion nor healthcare is in the US constitution, of course, so don't enjoy the constitutional protections that gun ownership enjoys, but as a sentence it would be read the same way.",R
"Armalite 15, not that that matters. BTW Hitler actually expanded gun ownership for Germans over what the Weimar Republic allowed.",D
When will you be transferring your household and gun ownership to Russia?,R
"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R
I’m a veteran. Don’t thank me for fucking shit. Vote and work for meaningful gun control and ownership legislation. Thank,R
Rhoda killing them on that live yes. But yes (rich) people speaking about gun ownership as a “right” is a worrisome thought.,D
